year_published,journal,title,abstract,lens_id,pmid
2020,"Lancet (London, England)",Intravenous alteplase for stroke with unknown time of onset guided by advanced imaging: systematic review and meta-analysis of individual patient data,"Summary Background Patients who have had a stroke with unknown time of onset have been previously excluded from thrombolysis. We aimed to establish whether intravenous alteplase is safe and effective in such patients when salvageable tissue has been identified with imaging biomarkers. Methods We did a systematic review and meta-analysis of individual patient data for trials published before Sept 21, 2020. Randomised trials of intravenous alteplase versus standard of care or placebo in adults with stroke with unknown time of onset with perfusion-diffusion MRI, perfusion CT, or MRI with diffusion weighted imaging-fluid attenuated inversion recovery (DWI-FLAIR) mismatch were eligible. The primary outcome was favourable functional outcome (score of 0–1 on the modified Rankin Scale [mRS]) at 90 days indicating no disability using an unconditional mixed-effect logistic-regression model fitted to estimate the treatment effect. Secondary outcomes were mRS shift towards a better functional outcome and independent outcome (mRS 0–2) at 90 days. Safety outcomes included death, severe disability or death (mRS score 4–6), and symptomatic intracranial haemorrhage. This study is registered with PROSPERO, CRD42020166903. Findings Of 249 identified abstracts, four trials met our eligibility criteria for inclusion: WAKE-UP, EXTEND, THAWS, and ECASS-4. The four trials provided individual patient data for 843 individuals, of whom 429 (51%) were assigned to alteplase and 414 (49%) to placebo or standard care. A favourable outcome occurred in 199 (47%) of 420 patients with alteplase and in 160 (39%) of 409 patients among controls (adjusted odds ratio [OR] 1·49 [95% CI 1·10–2·03]; p=0·011), with low heterogeneity across studies (I2=27%). Alteplase was associated with a significant shift towards better functional outcome (adjusted common OR 1·38 [95% CI 1·05–1·80]; p=0·019), and a higher odds of independent outcome (adjusted OR 1·50 [1·06–2·12]; p=0·022). In the alteplase group, 90 (21%) patients were severely disabled or died (mRS score 4–6), compared with 102 (25%) patients in the control group (adjusted OR 0·76 [0·52–1·11]; p=0·15). 27 (6%) patients died in the alteplase group and 14 (3%) patients died among controls (adjusted OR 2·06 [1·03–4·09]; p=0·040). The prevalence of symptomatic intracranial haemorrhage was higher in the alteplase group than among controls (11 [3%] vs two [ Interpretation In patients who have had a stroke with unknown time of onset with a DWI-FLAIR or perfusion mismatch, intravenous alteplase resulted in better functional outcome at 90 days than placebo or standard care. A net benefit was observed for all functional outcomes despite an increased risk of symptomatic intracranial haemorrhage. Although there were more deaths with alteplase than placebo, there were fewer cases of severe disability or death. Funding None.",063-329-765-701-079,33176180
2014,"Lancet (London, England)","A community empowerment approach to the HIV response among sex workers: effectiveness, challenges, and considerations for implementation and scale-up","Summary A community empowerment-based response to HIV is a process by which sex workers take collective ownership of programmes to achieve the most effective HIV outcomes and address social and structural barriers to their overall health and human rights. Community empowerment has increasingly gained recognition as a key approach for addressing HIV in sex workers, with its focus on addressing the broad context within which the heightened risk for infection takes places in these individuals. However, large-scale implementation of community empowerment-based approaches has been scarce. We undertook a comprehensive review of community empowerment approaches for addressing HIV in sex workers. Within this effort, we did a systematic review and meta-analysis of the effectiveness of community empowerment in sex workers in low-income and middle-income countries. We found that community empowerment-based approaches to addressing HIV among sex workers were significantly associated with reductions in HIV and other sexually transmitted infections, and with increases in consistent condom use with all clients. Despite the promise of a community-empowerment approach, we identified formidable structural barriers to implementation and scale-up at various levels. These barriers include regressive international discourses and funding constraints; national laws criminalising sex work; and intersecting social stigmas, discrimination, and violence. The evidence base for community empowerment in sex workers needs to be strengthened and diversified, including its role in aiding access to, and uptake of, combination interventions for HIV prevention. Furthermore, social and political change are needed regarding the recognition of sex work as work, both globally and locally, to encourage increased support for community empowerment responses to HIV.",063-624-279-336-987,25059938
2020,JAMA,Association of Blood Pressure Lowering With Incident Dementia or Cognitive Impairment: A Systematic Review and Meta-analysis.,"Importance The benefit of blood pressure lowering for the prevention of dementia or cognitive impairment is unclear. Objective To determine the association of blood pressure lowering with dementia or cognitive impairment. Data Sources and Study Selection Search of PubMed, EMBASE, and CENTRAL for randomized clinical trials published from database inception through December 31, 2019, that evaluated the association of blood pressure lowering on cognitive outcomes. The control groups consisted of either placebo, alternative antihypertensive agents, or higher blood pressure targets. Data Extraction and Synthesis Data were screened and extracted independently by 2 authors. Random-effects meta-analysis models were used to report pooled treatment effects and CIs. Main Outcomes and Measures The primary outcome was dementia or cognitive impairment. The secondary outcomes were cognitive decline and changes in cognitive test scores. Results Fourteen randomized clinical trials were eligible for inclusion (96 158 participants), of which 12 reported the incidence of dementia (or composite of dementia and cognitive impairment [3 trials]) on follow-up and were included in the primary meta-analysis, 8 reported cognitive decline, and 8 reported changes in cognitive test scores. The mean (SD) age of trial participants was 69 (5.4) years and 40 617 (42.2%) were women. The mean systolic baseline blood pressure was 154 (14.9) mm Hg and the mean diastolic blood pressure was 83.3 (9.9) mm Hg. The mean duration of follow-up was 49.2 months. Blood pressure lowering with antihypertensive agents compared with control was significantly associated with a reduced risk of dementia or cognitive impairment (12 trials; 92 135 participants) (7.0% vs 7.5% of patients over a mean trial follow-up of 4.1 years; odds ratio [OR], 0.93 [95% CI, 0.88-0.98]; absolute risk reduction, 0.39% [95% CI, 0.09%-0.68%];I2 = 0.0%) and cognitive decline (8 trials) (20.2% vs 21.1% of participants over a mean trial follow-up of 4.1 years; OR, 0.93 [95% CI, 0.88-0.99]; absolute risk reduction, 0.71% [95% CI, 0.19%-1.2%];I2 = 36.1%). Blood pressure lowering was not significantly associated with a change in cognitive test scores. Conclusions and Relevance In this meta-analysis of randomized clinical trials, blood pressure lowering with antihypertensive agents compared with control was significantly associated with a lower risk of incident dementia or cognitive impairment.",063-754-483-854-349,32427305
2019,BMJ (Clinical research ed.),"Efficacy and safety of first line treatments for patients with advanced epidermal growth factor receptor mutated, non-small cell lung cancer: systematic review and network meta-analysis","Abstract Objective To compare the efficacy and safety of first line treatments for patients with advanced epidermal growth factor receptor (EGFR) mutated non-small cell lung cancer (NSCLC). Design Systematic review and network meta-analysis. Data sources PubMed, Embase, Cochrane Central Register of Controlled Trials, ClinicalTrials.gov, and several international conference databases, from inception to 20 May 2019. Eligibility criteria for selecting studies Published and unpublished randomised controlled trials comparing two or more treatments in the first line setting for patients with advanced EGFR mutated NSCLC were included in a bayesian network meta-analysis. Eligible studies reported at least one of the following clinical outcome measures: progression free survival, overall survival, objective response rate, and adverse events of grade 3 or higher. Results 18 eligible trials involved 4628 patients and 12 treatments: EGFR tyrosine kinase inhibitors (TKIs; osimertinib, dacomitinib, afatinib, erlotinib, gefitinib, and icotinib), pemetrexed based chemotherapy, pemetrexed free chemotherapy, and combination treatments (afatinib plus cetuximab, erlotinib plus bevacizumab, gefitinib plus pemetrexed based chemotherapy, and gefitinib plus pemetrexed). Consistent with gefitinib plus pemetrexed based chemotherapy (hazard ratio 0.95, 95% credible interval 0.72 to 1.24), osimertinib showed the most favourable progression free survival, with significant differences versus dacomitinib (0.74, 0.55 to 1.00), afatinib (0.52, 0.40 to 0.68), erlotinib (0.48, 0.40 to 0.57), gefitinib (0.44, 0.37 to 0.52), icotinib (0.39, 0.24 to 0.62), pemetrexed based chemotherapy (0.24, 0.17 to 0.33), pemetrexed free chemotherapy (0.16, 0.13 to 0.20), afatinib plus cetuximab (0.44, 0.28 to 0.71), and gefitinib plus pemetrexed (0.65, 0.46 to 0.92). Osimertinib and gefitinib plus pemetrexed based chemotherapy were also consistent (0.94, 0.66 to 1.35) in providing the best overall survival benefit. Combination treatments caused more toxicity in general, especially erlotinib plus bevacizumab, which caused the most adverse events of grade 3 or higher. Different toxicity spectrums were revealed for individual EGFR-TKIs. Subgroup analyses by the two most common EGFR mutation types indicated that osimertinib was associated with the best progression free survival in patients with the exon 19 deletion, and gefitinib plus pemetrexed based chemotherapy was associated with the best progression free survival in patients with the Leu858Arg mutation. Conclusions These results indicate that osimertinib and gefitinib plus pemetrexed based chemotherapy were associated with the best progression free survival and overall survival benefits for patients with advanced EGFR mutated NSCLC, compared with other first line treatments. The treatments resulting in the best progression free survival for patients with the exon 19 deletion and Leu858Arg mutations were osimertinib and gefitinib plus pemetrexed based chemotherapy, respectively. Systematic review registration PROSPERO CRD42018111954.",064-275-502-961-632,31591158
2018,BMJ (Clinical research ed.),Immune-related adverse events for anti-PD-1 and anti-PD-L1 drugs: systematic review and meta-analysis,"Abstract Objective To evaluate rates of serious organ specific immune-related adverse events, general adverse events related to immune activation, and adverse events consistent with musculoskeletal problems for anti-programmed cell death 1 (PD-1) drugs overall and compared with control treatments. Design Systematic review and meta-analysis. Data sources Medline, Embase, Cochrane Library, Web of Science, and Scopus searched to 16 March 2017 and combined with data from ClinicalTrials.gov. Study selection Eligible studies included primary clinical trial data on patients with cancer with recurrent or metastatic disease. Data extraction Three independent investigators extracted data on adverse events from ClinicalTrials.gov and the published studies. Risk of bias was assessed using the Cochrane tool by three independent investigators. Results 13 relevant studies were included; adverse event data were available on ClinicalTrials.gov for eight. Studies compared nivolumab (n=6), pembrolizumab (5), or atezolizumab (2) with chemotherapy (11), targeted drugs (1), or both (1). Serious organ specific immune-related adverse events were rare, but compared with standard treatment, rates of hypothyroidism (odds ratio 7.56, 95% confidence interval 4.53 to 12.61), pneumonitis (5.37, 2.73 to 10.56), colitis (2.88, 1.30 to 6.37), and hypophysitis (3.38, 1.02 to 11.08) were increased with anti-PD-1 drugs. Of the general adverse events related to immune activation, only the rate of rash (2.34, 2.73 to 10.56) increased. Incidence of fatigue (32%) and diarrhea (19%) were high but similar to control. Reporting of adverse events consistent with musculoskeletal problems was inconsistent; rates varied but were over 20% in some studies for arthraligia and back pain. Conclusions Organ specific immune-related adverse events are uncommon with anti-PD-1 drugs but the risk is increased compared with control treatments. General adverse events related to immune activation are largely similar. Adverse events consistent with musculoskeletal problems are inconsistently reported but adverse events may be common.",064-683-606-657-582,29540345
2013,Annals of internal medicine,Promoting a culture of safety as a patient safety strategy: a systematic review.,"Developing a culture of safety is a core element of many efforts to improve patient safety and care quality. This systematic review identifies and assesses interventions used to promote safety culture or climate in acute care settings. The authors searched MEDLINE, CINAHL, PsycINFO, Cochrane, and EMBASE to identify relevant English-language studies published from January 2000 to October 2012. They selected studies that targeted health care workers practicing in inpatient settings and included data about change in patient safety culture or climate after a targeted intervention. Two raters independently screened 3679 abstracts (which yielded 33 eligible studies in 35 articles), extracted study data, and rated study quality and strength of evidence. Eight studies included executive walk rounds or interdisciplinary rounds; 8 evaluated multicomponent, unit-based interventions; and 20 included team training or communication initiatives. Twenty-nine studies reported some improvement in safety culture or patient outcomes, but measured outcomes were highly heterogeneous. Strength of evidence was low, and most studies were pre-post evaluations of low to moderate quality. Within these limits, evidence suggests that interventions can improve perceptions of safety culture and potentially reduce patient harm.",065-564-488-437-689,23460092
2017,Annals of internal medicine,"The Effects of Pay-for-Performance Programs on Health, Health Care Use, and Processes of Care: A Systematic Review","Background The benefits of pay-for-performance (P4P) programs are uncertain. Purpose To update and expand a prior review examining the effects of P4P programs targeted at the physician, group, managerial, or institutional level on process-of-care and patient outcomes in ambulatory and inpatient settings. Data sources PubMed from June 2007 to October 2016; MEDLINE, PsycINFO, CINAHL, Business Economics and Theory, Business Source Elite, Scopus, Faculty of 1000, and Gartner Research from June 2007 to February 2016. Study selection Trials and observational studies in ambulatory and inpatient settings reporting process-of-care, health, or utilization outcomes. Data extraction Two investigators extracted data, assessed study quality, and graded the strength of the evidence. Data synthesis Among 69 studies, 58 were in ambulatory settings, 52 reported process-of-care outcomes, and 38 reported patient outcomes. Low-strength evidence suggested that P4P programs in ambulatory settings may improve process-of-care outcomes over the short term (2 to 3 years), whereas data on longer-term effects were limited. Many of the positive studies were conducted in the United Kingdom, where incentives were larger than in the United States. The largest improvements were seen in areas where baseline performance was poor. There was no consistent effect of P4P on intermediate health outcomes (low-strength evidence) and insufficient evidence to characterize any effect on patient health outcomes. In the hospital setting, there was low-strength evidence that P4P had little or no effect on patient health outcomes and a positive effect on reducing hospital readmissions. Limitation Few methodologically rigorous studies; heterogeneous population and program characteristics and incentive targets. Conclusion Pay-for-performance programs may be associated with improved processes of care in ambulatory settings, but consistently positive associations with improved health outcomes have not been demonstrated in any setting. Primary funding source U.S. Department of Veterans Affairs.",070-141-749-707-859,28114600
2017,BMJ (Clinical research ed.),"Risk of relapse after antidepressant discontinuation in anxiety disorders, obsessive-compulsive disorder, and post-traumatic stress disorder: systematic review and meta-analysis of relapse prevention trials","Objectives  To examine the risk of relapse and time to relapse after discontinuation of antidepressants in patients with anxiety disorder who responded to antidepressants, and to explore whether relapse risk is related to type of anxiety disorder, type of antidepressant, mode of discontinuation, duration of treatment and follow-up, comorbidity, and allowance of psychotherapy. Design  Systematic review and meta-analyses of relapse prevention trials. Data sources  PubMed, Cochrane, Embase, and clinical trial registers (from inception to July 2016). Study selection  Eligible studies included patients with anxiety disorder who responded to antidepressants, randomised patients double blind to either continuing antidepressants or switching to placebo, and compared relapse rates or time to relapse. Data extraction  Two independent raters selected studies and extracted data. Random effect models were used to estimate odds ratios for relapse, hazard ratios for time to relapse, and relapse prevalence per group. The effect of various categorical and continuous variables was explored with subgroup analyses and meta-regression analyses respectively. Bias was assessed using the Cochrane tool. Results  The meta-analysis included 28 studies (n=5233) examining relapse with a maximum follow-up of one year. Across studies, risk of bias was considered low. Discontinuation increased the odds of relapse compared with continuing antidepressants (summary odds ratio 3.11, 95% confidence interval 2.48 to 3.89). Subgroup analyses and meta-regression analyses showed no statistical significance. Time to relapse (n=3002) was shorter when antidepressants were discontinued (summary hazard ratio 3.63, 2.58 to 5.10; n=11 studies). Summary relapse prevalences were 36.4% (30.8% to 42.1%; n=28 studies) for the placebo group and 16.4% (12.6% to 20.1%; n=28 studies) for the antidepressant group, but prevalence varied considerably across studies, most likely owing to differences in the length of follow-up. Dropout was higher in the placebo group (summary odds ratio 1.31, 1.06 to 1.63; n=27 studies). Conclusions  Up to one year of follow-up, discontinuation of antidepressant treatment results in higher relapse rates among responders compared with treatment continuation. The lack of evidence after a one year period should not be interpreted as explicit advice to discontinue antidepressants after one year. Given the chronicity of anxiety disorders, treatment should be directed by long term considerations, including relapse prevalence, side effects, and patients’ preferences.",072-248-952-226-447,28903922
2018,BMJ (Clinical research ed.),Environmental toxic metal contaminants and risk of cardiovascular disease: systematic review and meta-analysis,"ABSTRACT Objective To conduct a systematic review and meta-analysis of epidemiological studies investigating the association of arsenic, lead, cadmium, mercury, and copper with cardiovascular disease. Design Systematic review and meta-analysis. Data sources PubMed, Embase, and Web of Science searched up to December 2017. Review methods Studies reporting risk estimates for total cardiovascular disease, coronary heart disease, and stroke for levels of arsenic, lead, cadmium, mercury, or copper were included. Two investigators independently extracted information on study characteristics and outcomes in accordance with PRISMA and MOOSE guidelines. Relative risks were standardised to a common scale and pooled across studies for each marker using random effects meta-analyses. Results The review identified 37 unique studies comprising 348 259 non-overlapping participants, with 13 033 coronary heart disease, 4205 stroke, and 15 274 cardiovascular disease outcomes in aggregate. Comparing top versus bottom thirds of baseline levels, pooled relative risks for arsenic and lead were 1.30 (95% confidence interval 1.04 to 1.63) and 1.43 (1.16 to 1.76) for cardiovascular disease, 1.23 (1.04 to 1.45) and 1.85 (1.27 to 2.69) for coronary heart disease, and 1.15 (0.92 to 1.43) and 1.63 (1.14 to 2.34) for stroke. Relative risks for cadmium and copper were 1.33 (1.09 to 1.64) and 1.81 (1.05 to 3.11) for cardiovascular disease, 1.29 (0.98 to 1.71) and 2.22 (1.31 to 3.74) for coronary heart disease, and 1.72 (1.29 to 2.28) and 1.29 (0.77 to 2.17) for stroke. Mercury had no distinctive association with cardiovascular outcomes. There was a linear dose-response relation for arsenic, lead, and cadmium with cardiovascular disease outcomes. Conclusion Exposure to arsenic, lead, cadmium, and copper is associated with an increased risk of cardiovascular disease and coronary heart disease. Mercury is not associated with cardiovascular risk. These findings reinforce the importance of environmental toxic metals in cardiovascular risk, beyond the roles of conventional behavioural risk factors.",073-439-144-231-30X,30158148
2015,BMJ (Clinical research ed.),Calcium intake and risk of fracture: systematic review,"Objective To examine the evidence underpinning recommendations to increase calcium intake through dietary sources or calcium supplements to prevent fractures. Design Systematic review of randomised controlled trials and observational studies of calcium intake with fracture as an endpoint. Results from trials were pooled with random effects meta-analyses. Data sources Ovid Medline, Embase, PubMed, and references from relevant systematic reviews. Initial searches undertaken in July 2013 and updated in September 2014. Eligibility criteria for selecting studies Randomised controlled trials or cohort studies of dietary calcium, milk or dairy intake, or calcium supplements (with or without vitamin D) with fracture as an outcome and participants aged >50. Results There were only two eligible randomised controlled trials of dietary sources of calcium (n=262), but 50 reports from 44 cohort studies of relations between dietary calcium (n=37), milk (n=14), or dairy intake (n=8) and fracture outcomes. For dietary calcium, most studies reported no association between calcium intake and fracture (14/22 for total, 17/21 for hip, 7/8 for vertebral, and 5/7 for forearm fracture). For milk (25/28) and dairy intake (11/13), most studies also reported no associations. In 26 randomised controlled trials, calcium supplements reduced the risk of total fracture (20 studies, n=58 573; relative risk 0.89, 95% confidence interval 0.81 to 0.96) and vertebral fracture (12 studies, n=48 967. 0.86, 0.74 to 1.00) but not hip (13 studies, n=56 648; 0.95, 0.76 to 1.18) or forearm fracture (eight studies, n=51 775; 0.96, 0.85 to 1.09). Funnel plot inspection and Egger’s regression suggested bias toward calcium supplements in the published data. In randomised controlled trials at lowest risk of bias (four studies, n=44 505), there was no effect on risk of fracture at any site. Results were similar for trials of calcium monotherapy and co-administered calcium and vitamin D. Only one trial in frail elderly women in residential care with low dietary calcium intake and vitamin D concentrations showed significant reductions in risk of fracture. Conclusions Dietary calcium intake is not associated with risk of fracture, and there is no clinical trial evidence that increasing calcium intake from dietary sources prevents fractures. Evidence that calcium supplements prevent fractures is weak and inconsistent.",073-803-312-726-415,26420387
2013,BMJ (Clinical research ed.),Preventing sexual abusers of children from reoffending: systematic review of medical and psychological interventions.,"Objective To evaluate the effectiveness of current medical and psychological interventions for individuals at risk of sexually abusing children, both in known abusers and those at risk of abusing. Design Systematic review of interventions designed to prevent reoffending among known abusers and prevention for individuals at risk of sexually abusing children. Randomised controlled trials and prospective observational studies were eligible. Primary outcomes were arrests, convictions, breaches of conditions, and self reported sexual abuse of children after one year or more. Results After review of 1447 abstracts, we retrieved 167 full text studies, and finally included eight studies with low to moderate risk of bias. We found weak evidence for interventions aimed at reducing reoffending in identified sexual abusers of children. For adults, evidence from five trials was insufficient regarding both benefits and risks with psychological treatment and pharmacotherapy. For adolescents, limited evidence from one trial suggested that multisystemic therapy prevented reoffence (relative risk 0.18, 95% confidence interval 0.04 to 0.73); lack of adequate research prevented conclusions about effects of other treatments. Evidence was also inadequate regarding effectiveness of treatment for children with sexual behavioural problems in the one trial identified. Finally, we found no eligible research on preventive methods for adults and adolescents who had not sexually abused children but were at higher risk of doing so (such as those with paedophilic sexual preference). Conclusion There are major weaknesses in the scientific evidence, particularly regarding adult men, the main category of sexual abusers of children. Better coordinated and funded high quality studies including several countries are urgently needed. Until conclusive evidence is available, realistic clinical strategies might involve reduction of specific risk factors for sex crimes, such as sexual preoccupation, in abusers at risk of reoffending.",079-111-147-878-984,23935058
2019,BMJ (Clinical research ed.),Comparative efficacy and acceptability of non-surgical brain stimulation for the acute treatment of major depressive episodes in adults: systematic review and network meta-analysis,"OBJECTIVE To estimate the comparative clinical efficacy and  acceptability of non-surgical brain stimulation for  the acute treatment of major depressive episodes in  adults. DESIGN Systematic review with pairwise and network meta- analysis. DATA SOURCES Electronic search of Embase, PubMed/Medline,  and PsycINFO up to 8 May 2018, supplemented by  manual searches of bibliographies of several reviews  (published between 2009 and 2018) and included  trials. ELIGIBILITY CRITERIA FOR SELECTING STUDIES Clinical trials with random allocation to  electroconvulsive therapy (ECT), transcranial magnetic  stimulation (repetitive (rTMS), accelerated, priming,  deep, and synchronised), theta burst stimulation,  magnetic seizure therapy, transcranial direct current  stimulation (tDCS), or sham therapy. MAIN OUTCOME MEASURES Primary outcomes were response (efficacy) and all  cause discontinuation (discontinuation of treatment  for any reason) (acceptability), presented as odds  ratios with 95% confidence intervals. Remission and  continuous depression severity scores after treatment  were also examined. RESULTS 113 trials (262 treatment arms) that randomised  6750 patients (mean age 47.9 years; 59% women)  with major depressive disorder or bipolar depression  met the inclusion criteria. The most studied treatment  comparisons were high frequency left rTMS and tDCS  versus sham therapy, whereas recent treatments  remain understudied. The quality of the evidence was  typically of low or unclear risk of bias (94 out of 113  trials, 83%) and the precision of summary estimates  for treatment effect varied considerably. In network  meta-analysis, 10 out of 18 treatment strategies  were associated with higher response compared  with sham therapy: bitemporal ECT (summary odds  ratio 8.91, 95% confidence interval 2.57 to 30.91),  high dose right unilateral ECT (7.27, 1.90 to 27.78),  priming transcranial magnetic stimulation (6.02, 2.21  to 16.38), magnetic seizure therapy (5.55, 1.06 to  28.99), bilateral rTMS (4.92, 2.93 to 8.25), bilateral  theta burst stimulation (4.44, 1.47 to 13.41), low  frequency right rTMS (3.65, 2.13 to 6.24), intermittent  theta burst stimulation (3.20, 1.45 to 7.08), high  frequency left rTMS (3.17, 2.29 to 4.37), and tDCS  (2.65, 1.55 to 4.55). Network meta-analytic estimates  of active interventions contrasted with another  active treatment indicated that bitemporal ECT and  high dose right unilateral ECT were associated with  increased response. All treatment strategies were at  least as acceptable as sham therapy. CONCLUSIONS These findings provide evidence for the consideration  of non-surgical brain stimulation techniques as  alternative or add-on treatments for adults with major  depressive episodes. These findings also highlight  important research priorities in the specialty of brain  stimulation, such as the need for further well designed  randomised controlled trials comparing novel  treatments, and sham controlled trials investigating  magnetic seizure therapy.",082-835-946-966-878,30917990
2013,BMJ (Clinical research ed.),Severe hypoglycaemia and cardiovascular disease: systematic review and meta-analysis with bias analysis.,"Objectives To provide a systematic and quantitative summary of the association between severe hypoglycaemia and risk of cardiovascular disease in people with type 2 diabetes and to examine the sensitivity of the association to possible uncontrolled confounding by unmeasured comorbid severe illness using a bias analysis. Design Meta-analysis of observational studies. Data sources Medline, Embase, the Cochrane Library, and Web of Science databases were searched to February 2013, without any language restrictions. Eligibility criteria Two independent reviewers selected cohort studies that evaluated the association of severe hypoglycaemia with cardiovascular events in people with type 2 diabetes; we excluded studies from acute hospital settings. We extracted descriptive and quantitative data. Results Of 3443 citations screened, six eligible studies with 903 510 participants were identified. In the conventional random effects meta-analysis, severe hypoglycaemia was strongly associated with a higher risk of cardiovascular disease (relative risk 2.05, 95% confidence interval 1.74 to 2.42; P 2 =73.1%; P=0.002 for heterogeneity), most subgroups showed similar results in stratified analyses. The bias analysis indicated that comorbid severe illness alone may not explain the association between hypoglycaemia and cardiovascular disease; to explain this association, comorbid severe illness would have had to be extremely strongly associated with both severe hypoglycaemia and cardiovascular disease. Conclusion Our findings suggest that severe hypoglycaemia is associated with a higher risk of cardiovascular disease; they also support the notion that avoiding severe hypoglycaemia may be important to prevent cardiovascular disease in people with type 2 diabetes.",084-951-269-997-60X,23900314
2015,BMJ (Clinical research ed.),"Consumption of sugar sweetened beverages, artificially sweetened beverages, and fruit juice and incidence of type 2 diabetes: systematic review, meta-analysis, and estimation of population attributable fraction","ObjeCtives To examine the prospective associations between consumption of sugar sweetened beverages, artificially sweetened beverages, and fruit juice with type 2 diabetes before and after adjustment for adiposity, and to estimate the population attributable fraction for type 2 diabetes from consumption of sugar sweetened beverages in the United States and United Kingdom. Design Systematic review and meta-analysis. Data sOurC es anD eligibility",086-403-663-710-406,26199070
2014,BMJ (Clinical research ed.),Leucocyte telomere length and risk of cardiovascular disease: systematic review and meta-analysis.,"Objective To assess the association between leucocyte telomere length and risk of cardiovascular disease. Design Systematic review and meta-analysis. Data sources Studies published up to March 2014 identified through searches of Medline, Web of Science, and Embase. Eligibility criteria Prospective and retrospective studies that reported on associations between leucocyte telomere length and coronary heart disease (defined as non-fatal myocardial infarction, coronary heart disease death, or coronary revascularisation) or cerebrovascular disease (defined as non-fatal stroke or death from cerebrovascular disease) and were broadly representative of general populations—that is, they did not select cohort or control participants on the basis of pre-existing cardiovascular disease or diabetes. Results Twenty four studies involving 43 725 participants and 8400 patients with cardiovascular disease (5566 with coronary heart disease and 2834 with cerebrovascular disease) were found to be eligible. In a comparison of the shortest versus longest third of leucocyte telomere length, the pooled relative risk for coronary heart disease was 1.54 (95% confidence interval 1.30 to 1.83) in all studies, 1.40 (1.15 to 1.70) in prospective studies, and 1.80 (1.32 to 2.44) in retrospective studies. Heterogeneity between studies was moderate (I2=64%, 41% to 77%, Phet Conclusion Available observational data show an inverse association between leucocyte telomere length and risk of coronary heart disease independent of conventional vascular risk factors. The association with cerebrovascular disease is less certain.",086-936-509-767-174,25006006
2016,BMJ (Clinical research ed.),Non-specific immunological effects of selected routine childhood immunisations: systematic review,"Objective To identify and characterise non-specific immunological effects after routine childhood vaccines against BCG, measles, diphtheria, pertussis, and tetanus. Design Systematic review of randomised controlled trials, cohort studies, and case-control studies. Data sources Embase, PubMed, Cochrane library, and Trip searched between 1947 and January 2014. Publications submitted by a panel of experts in the specialty were also included. Eligibility criteria for selecting studies All human studies reporting non-specific immunological effects after vaccination with standard childhood immunisations. Studies using recombinant vaccines, no vaccine at all, or reporting only vaccine specific outcomes were excluded. The primary aim was to systematically identify, assemble, and review all available studies and data on the possible non-specific or heterologous immunological effects of BCG; measles; mumps, measles, and rubella (MMR); diphtheria; tetanus; and pertussis vaccines. Results The initial search yielded 11 168 references; 77 manuscripts met the inclusion criteria for data analysis. In most included studies (48%) BCG was the vaccine intervention. The final time point of outcome measurement was primarily performed (70%) between one and 12 months after vaccination. There was a high risk of bias in the included studies, with no single study rated low risk across all assessment criteria. A total of 143 different immunological variables were reported, which, in conjunction with differences in measurement units and summary statistics, created a high number of combinations thus precluding any meta-analysis. Studies that compared BCG vaccinated with unvaccinated groups showed a trend towards increased IFN-γ production in vitro in the vaccinated groups. Increases were also observed for IFN-γ measured after BCG vaccination in response to in vitro stimulation with microbial antigens from Candida albicans, tetanus toxoid, Staphylococcus aureas, lipopolysaccharide, and hepatitis B. Cohort studies of measles vaccination showed an increase in lymphoproliferation to microbial antigens from tetanus toxoid and C albicans. Increases in immunogenicity to heterologous antigens were noted after diphtheria-tetanus (herpes simplex virus and polio antibody titres) and diphtheria-tetanus-pertussis (pneumococcus serotype 14 and polio neutralising responses) vaccination. Conclusions The papers reporting non-specific immunological effects had heterogeneous study designs and could not be conventionally meta-analysed, providing a low level of evidence quality. Some studies, such as BCG vaccine studies examining in vitro IFN-γ responses and measles vaccine studies examining lymphoproliferation to microbial antigen stimulation, showed a consistent direction of effect suggestive of non-specific immunological effects. The quality of the evidence, however, does not provide confidence in the nature, magnitude, or timing of non-specific immunological effects after vaccination with BCG, diphtheria, pertussis, tetanus, or measles containing vaccines nor the clinical importance of the findings.",087-681-703-052-337,27737830
